iter	Passed	Remaining
401	16572	24653
402	16611	24608
403	16646	24558
404	16690	24520
405	16725	24469
406	16761	24422
407	16809	24390
408	16858	24360
409	16895	24312
410	16935	24269
411	16982	24237
412	17034	24211
413	17081	24178
414	17121	24135
415	17160	24091
416	17197	24044
417	17234	23995
418	17272	23950
419	17311	23906
420	17353	23865
421	17389	23818
422	17429	23774
423	17471	23734
424	17507	23686
425	17552	23650
426	17594	23610
427	17634	23567
428	17676	23527
429	17714	23481
430	17751	23435
431	17794	23397
432	17832	23351
433	17866	23300
434	17902	23252
435	17944	23212
436	17979	23163
437	18019	23121
438	18053	23070
439	18091	23025
440	18127	22977
441	18168	22936
442	18211	22898
443	18255	22859
444	18294	22816
445	18334	22773
446	18370	22726
447	18408	22681
448	18446	22637
449	18487	22596
450	18526	22551
451	18565	22508
452	18600	22460
453	18638	22415
454	18677	22371
455	18720	22333
456	18770	22302
457	18814	22265
458	18853	22222
459	18895	22181
460	18936	22140
461	18973	22094
462	19011	22050
463	19052	22008
464	19097	21971
465	19137	21929
466	19174	21884
467	19218	21846
468	19260	21806
469	19312	21777
470	19353	21736
471	19397	21699
472	19435	21654
473	19475	21612
474	19514	21568
475	19559	21531
476	19598	21488
477	19637	21445
478	19677	21403
479	19722	21365
480	19762	21324
481	19805	21284
482	19842	21239
483	19881	21195
484	19917	21149
485	19954	21104
486	19994	21062
487	20033	21018
488	20069	20972
489	20107	20927
490	20143	20881
491	20177	20834
492	20217	20791
493	20260	20752
494	20306	20716
495	20346	20674
496	20385	20631
497	20427	20591
498	20468	20550
499	20504	20504
500	20547	20465
501	20582	20418
502	20621	20375
503	20658	20331
504	20708	20298
505	20752	20260
506	20791	20217
507	20827	20171
508	20870	20132
509	20916	20095
510	20957	20054
511	21000	20015
512	21041	19975
513	21085	19937
514	21127	19896
515	21167	19854
516	21210	19815
517	21254	19777
518	21300	19741
519	21342	19700
520	21386	19662
521	21429	19623
522	21472	19584
523	21508	19538
524	21550	19498
525	21590	19456
526	21631	19415
527	21685	19385
528	21744	19360
529	21796	19328
530	21838	19288
531	21883	19250
532	21923	19208
533	21962	19166
534	22008	19129
535	22042	19081
536	22084	19041
537	22123	18998
538	22165	18958
539	22209	18919
540	22256	18883
541	22302	18846
542	22355	18815
543	22399	18775
544	22440	18734
545	22484	18695
546	22528	18656
547	22570	18616
548	22614	18577
549	22656	18536
550	22695	18494
551	22734	18451
552	22786	18419
553	22830	18379
554	22872	18339
555	22917	18300
556	22962	18262
557	23001	18219
558	23048	18182
559	23091	18142
560	23132	18101
561	23176	18062
562	23215	18020
563	23249	17973
564	23291	17932
565	23334	17892
566	23375	17851
567	23415	17808
568	23456	17767
569	23502	17729
570	23544	17689
571	23580	17644
572	23627	17606
573	23666	17564
574	23701	17518
575	23744	17478
576	23783	17435
577	23820	17391
578	23860	17349
579	23897	17305
580	23936	17262
581	23974	17218
582	24008	17172
583	24049	17130
584	24082	17083
585	24120	17040
586	24158	16997
587	24191	16950
588	24230	16907
589	24271	16866
590	24311	16824
591	24353	16784
592	24398	16745
593	24436	16702
594	24477	16660
595	24515	16618
596	24554	16575
597	24593	16532
598	24632	16490
599	24672	16448
600	24717	16409
601	24765	16373
602	24810	16334
603	24848	16291
604	24889	16250
605	24933	16210
606	24971	16167
607	25013	16127
608	25048	16081
609	25086	16039
610	25130	15999
611	25167	15955
612	25206	15913
613	25249	15873
614	25289	15831
615	25335	15793
616	25378	15753
617	25416	15710
618	25461	15671
619	25502	15630
620	25540	15587
621	25578	15544
622	25623	15505
623	25665	15464
624	25706	15423
625	25746	15381
626	25779	15336
627	25820	15294
628	25861	15253
629	25902	15212
630	25941	15170
631	25983	15129
632	26023	15087
633	26065	15047
634	26104	15005
635	26144	14962
636	26184	14921
637	26230	14883
638	26271	14842
639	26311	14800
640	26349	14757
641	26392	14717
642	26427	14672
643	26471	14633
644	26514	14593
645	26562	14555
646	26607	14517
647	26648	14475
648	26688	14434
649	26729	14393
650	26772	14352
651	26807	14308
652	26851	14268
653	26896	14229
654	26938	14189
655	26978	14147
656	27014	14103
657	27055	14062
658	27093	14019
659	27139	13981
660	27178	13938
661	27219	13897
662	27265	13858
663	27311	13820
664	27345	13775
665	27391	13736
666	27431	13695
667	27471	13653
668	27512	13612
669	27551	13570
670	27592	13529
671	27631	13486
672	27669	13444
673	27706	13401
674	27745	13359
675	27780	13314
676	27820	13273
677	27857	13230
678	27890	13185
679	27925	13141
680	27962	13098
681	27997	13054
682	28036	13012
683	28068	12967
684	28102	12923
685	28143	12882
686	28182	12840
687	28227	12800
688	28261	12756
689	28297	12713
690	28329	12668
691	28365	12625
692	28400	12581
